idLocality;idKeyInformName;valueAll;reportingPeriod
01010900;0201010101;10,1;2017
01010900;0801020101;107,821;2017
01010900;0801020201;-;2017
01010900;0801020202;-;2017
01010900;0801020203;-;2017
01010900;0501020301;2625;2017
01010900;0501020302;11394;2017
01010900;0801030101;2827,2907;2017
01010900;0501030201;2265;2017
01010900;0501030202;8880;2017
01010900;0801040101;18,29620608;2017
01010900;0801040201;0,967897672;2017
01010900;0501040301;-360;2017
01010900;0501040302;-2514;2017
01010900;0801040401;2,998323355;2017
01010900;0801040501;121,501912;2017
01011000;0201010101;4,8;2017
01011000;0801020101;27,463;2017
01011000;0801020201;-;2017
01011000;0801020202;-;2017
01011000;0801020203;-;2017
01011000;0501020301;673;2017
01011000;0501020302;2260;2017
01011000;0801030101;824,6773;2017
01011000;0501030201;600;2017
01011000;0501030202;2650;2017
01011000;0801040101;14,36745998;2017
01011000;0801040201;0,828084662;2017
01011000;0501040301;-73;2017
01011000;0501040302;390;2017
01011000;0801040401;0,508957154;2017
01011000;0801040501;59,70892259;2017
01020000;0201010101;113,73;2017
01020000;0801020101;1160,576;2017
01020000;0801020201;-;2017
01020000;0801020202;-;2017
01020000;0801020203;-;2017
01020000;0501020301;37989;2017
01020000;0501020302;84281;2017
01020000;0801030101;23647,1572;2017
01020000;0501030201;31206;2017
01020000;0501030202;83512;2017
01020000;0801040101;18,05656026;2017
01020000;0801040201;0,917886408;2017
01020000;0501040301;-6783;2017
01020000;0501040302;-769;2017
01020000;0801040401;1,586038887;2017
01020000;0801040501;52,76647354;2017
01020100;0201010101;4,58;2017
01020100;0801020101;78,867;2017
01020100;0801020201;-;2017
01020100;0801020202;-;2017
01020100;0801020203;-;2017
01020100;0501020301;2140;2017
01020100;0501020302;4705;2017
01020100;0801030101;1739,9237;2017
01020100;0501030201;1365;2017
01020100;0501030202;3730;2017
01020100;0801040101;15,68392914;2017
01020100;0801040201;1,110706379;2017
01020100;0501040301;-775;2017
01020100;0501040302;-975;2017
01020100;0801040401;1,497685391;2017
01020100;0801040501;24,43571776;2017
01020200;0201010101;5,56;2017
01020200;0801020101;42,691;2017
01020200;0801020201;-;2017
01020200;0801020202;-;2017
01020200;0801020203;-;2017
01020200;0501020301;963;2017
01020200;0501020302;1923;2017
01020200;0801030101;790,5386;2017
01020200;0501030201;1001;2017
01020200;0501030202;2690;2017
01020200;0801040101;16,09853165;2017
01020200;0801040201;1,038422486;2017
01020200;0501040301;38;2017
01020200;0501040302;767;2017
01020200;0801040401;2,628596818;2017
01020200;0801040501;148,2811822;2017
01020300;0201010101;3,3;2017
01020300;0801020101;77,894;2017
01020300;0801020201;-;2017
01020300;0801020202;-;2017
01020300;0801020203;-;2017
01020300;0501020301;3283;2017
01020300;0501020302;7607;2017
01020300;0801030101;1578,2408;2017
01020300;0501030201;2890;2017
01020300;0501030202;7320;2017
01020300;0801040101;17,95284793;2017
01020300;0801040201;1,156679277;2017
01020300;0501040301;-393;2017
01020300;0501040302;-287;2017
01020300;0801040401;1,561999835;2017
01020300;0801040501;43,73204105;2017
01020400;0201010101;6,61;2017
01020400;0801020101;69,311;2017
01020400;0801020201;-;2017
01020400;0801020202;-;2017
01020400;0801020203;-;2017
01020400;0501020301;2322;2017
01020400;0501020302;6221;2017
01020400;0801030101;1526,5127;2017
01020400;0501030201;2180;2017
01020400;0501030202;7700;2017
01020400;0801040101;18,26975405;2017
01020400;0801040201;0,983465068;2017
01020400;0501040301;-142;2017
01020400;0501040302;1479;2017
01020400;0801040401;1,156664373;2017
01020400;0801040501;45,46755558;2017
01020500;0201010101;3,77;2017
01020500;0801020101;98,347;2017
01020500;0801020201;-;2017
01020500;0801020202;-;2017
01020500;0801020203;-;2017
01020500;0501020301;2974;2017
01020500;0501020302;5840;2017
01020500;0801030101;1592,442;2017
01020500;0501030201;2325;2017
01020500;0501030202;6595;2017
01020500;0801040101;20,34542212;2017
01020500;0801040201;0,971823831;2017
01020500;0501040301;-649;2017
01020500;0501040302;755;2017
01020500;0801040401;5,675416171;2017
01020500;0801040501;94,45784745;2017
01020600;0201010101;8,93;2017
01020600;0801020101;103,064;2017
01020600;0801020201;-;2017
01020600;0801020202;-;2017
01020600;0801020203;-;2017
01020600;0501020301;2794;2017
01020600;0501020302;5424;2017
01020600;0801030101;1849,8309;2017
01020600;0501030201;2775;2017
01020600;0501030202;4950;2017
01020600;0801040101;16,63163727;2017
01020600;0801040201;0,665652848;2017
01020600;0501040301;-19;2017
01020600;0501040302;-474;2017
01020600;0801040401;4,017128239;2017
01020600;0801040501;157,4828647;2017
01020700;0201010101;7,29;2017
01020700;0801020101;92,517;2017
01020700;0801020201;-;2017
01020700;0801020202;-;2017
01020700;0801020203;-;2017
01020700;0501020301;2858;2017
01020700;0501020302;5817;2017
01020700;0801030101;1385,7063;2017
01020700;0501030201;2135;2017
01020700;0501030202;5835;2017
01020700;0801040101;18,1158367;2017
01020700;0801040201;1,043278938;2017
01020700;0501040301;-723;2017
01020700;0501040302;18;2017
01020700;0801040401;9,265030519;2017
01020700;0801040501;194,2718893;2017
01020800;0201010101;7,53;2017
01020800;0801020101;81,597;2017
01020800;0801020201;-;2017
01020800;0801020202;-;2017
01020800;0801020203;-;2017
01020800;0501020301;3050;2017
01020800;0501020302;6125;2017
01020800;0801030101;1559,0483;2017
01020800;0501030201;2800;2017
01020800;0501030202;6875;2017
01020800;0801040101;17,81628906;2017
01020800;0801040201;1,065387032;2017
01020800;0501040301;-250;2017
01020800;0501040302;750;2017
01020800;0801040401;2,067936233;2017
01020800;0801040501;68,44715397;2017
01020900;0201010101;5,38;2017
01020900;0801020101;101,098;2017
01020900;0801020201;-;2017
01020900;0801020202;-;2017
01020900;0801020203;-;2017
01020900;0501020301;3316;2017
01020900;0501020302;8976;2017
01020900;0801030101;1845,6722;2017
01020900;0501030201;2680;2017
01020900;0501030202;7709;2017
01020900;0801040101;22,22057781;2017
01020900;0801040201;1,112195733;2017
01020900;0501040301;-636;2017
01020900;0501040302;-1267;2017
01020900;0801040401;3,049057807;2017
01020900;0801040501;122,9023486;2017
01021000;0201010101;6,46;2017
01021000;0801020101;53,314;2017
01021000;0801020201;-;2017
01021000;0801020202;-;2017
01021000;0801020203;-;2017
01021000;0501020301;1716;2017
01021000;0501020302;2875;2017
01021000;0801030101;1203,2652;2017
01021000;0501030201;1645;2017
01021000;0501030202;2750;2017
01021000;0801040101;18,68710956;2017
01021000;0801040201;1,195429609;2017
01021000;0501040301;-71;2017
01021000;0501040302;-125;2017
01021000;0801040401;5,272737419;2017
01021000;0801040501;83,02405994;2017
01021100;0201010101;21,78;2017
01021100;0801020101;7,208;2017
01021100;0801020201;-;2017
01021100;0801020202;-;2017
01021100;0801020203;-;2017
01021100;0501020301;637;2017
01021100;0501020302;1505;2017
01021100;0801030101;225,7003;2017
01021100;0501030201;225;2017
01021100;0501030202;1180;2017
01021100;0801040101;16,1835225;2017
01021100;0801040201;0,994105335;2017
01021100;0501040301;-412;2017
01021100;0501040302;-325;2017
01021100;0801040401;0,516917139;2017
01021100;0801040501;33,6608573;2017
01021200;0201010101;2,7;2017
01021200;0801020101;59,106;2017
01021200;0801020201;-;2017
01021200;0801020202;-;2017
01021200;0801020203;-;2017
01021200;0501020301;1323;2017
01021200;0501020302;2742;2017
01021200;0801030101;1144,9321;2017
01021200;0501030201;945;2017
01021200;0501030202;2950;2017
01021200;0801040101;27,54884276;2017
01021200;0801040201;1,132110748;2017
01021200;0501040301;-378;2017
01021200;0501040302;208;2017
01021200;0801040401;7,518186488;2017
01021200;0801040501;114,3693625;2017
01021300;0201010101;3,72;2017
01021300;0801020101;59,073;2017
01021300;0801020201;-;2017
01021300;0801020202;-;2017
01021300;0801020203;-;2017
01021300;0501020301;1919;2017
01021300;0501020302;4775;2017
01021300;0801030101;1227,8696;2017
01021300;0501030201;1430;2017
01021300;0501030202;5160;2017
01021300;0801040101;17,55821873;2017
01021300;0801040201;1,132708246;2017
01021300;0501040301;-489;2017
01021300;0501040302;385;2017
01021300;0801040401;1,006608868;2017
01021300;0801040501;32,5822428;2017
01021400;0201010101;10,43;2017
01021400;0801020101;83,394;2017
01021400;0801020201;-;2017
01021400;0801020202;-;2017
01021400;0801020203;-;2017
01021400;0501020301;2434;2017
01021400;0501020302;4790;2017
01021400;0801030101;1631,8276;2017
01021400;0501030201;1955;2017
01021400;0501030202;4548;2017
01021400;0801040101;15,06982743;2017
01021400;0801040201;1,094425797;2017
01021400;0501040301;-479;2017
01021400;0501040302;-242;2017
01021400;0801040401;3,452673962;2017
01021400;0801040501;74,9398118;2017
01021500;0201010101;5,73;2017
01021500;0801020101;85,401;2017
01021500;0801020201;-;2017
01021500;0801020202;-;2017
01021500;0801020203;-;2017
01021500;0501020301;3568;2017
01021500;0501020302;7694;2017
01021500;0801030101;2104,4543;2017
01021500;0501030201;2690;2017
01021500;0501030202;6700;2017
01021500;0801040101;17,2;2017
01021500;0801040201;0,95;2017
01021500;0501040301;-878;2017
